"Показник","Територіальний розріз","Тип будівлі","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Запорізька","Будівлі транспорту та зв'язку","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1227","","","2637","2643","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Львівська","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","55020","5945","11170","20678","33746","","","19367","20614","12194","14258","31839","86319","","","3050","4072","4165","64765","80681","85321","2467","17730","20500","44267","2586","15256","21865",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Київська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","87401","36961","66610","135249","202024","21902","50593","113182","132663","41894","132779","172426","219832","194967","200420","215818","225631","5467","118732","159054","192482","21670","67040","105402","139183","32202","72466","118583",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Луганська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","442","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Миколаївська","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","16907","656","","4136","6847","","4368","5127","7777","3535","3542","10357","11067","","","","","","","","","","7707","8919","14626","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Львівська","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","9510","","12146","16854","24842","10559","10559","16343","28969","","","435496","452779","","","31981","57389","6119","10017","17214","17724","","32820","39826","54166","101371","108602","165829",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Київська","Будівлі транспорту та зв'язку","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","4479","","7357","7357","10224","","1451","3763","3763","2134","7714","17358","25030","","520","1562","","","","","4990","","","","","","","3187",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Запорізька","Одноквартирні житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","6501","","1925","2444","2444","","","2385","4641","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Одеська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","102265","","13983","18944","27938","21215","30054","30901","37233","1615","8418","49883","62102","","","57545","61109","","","7268","10356","4201","12437","15184","15680","","8994","15552",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Луганська","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Полтавська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","12342","6465","6465","8506","9482","","","","","","","","3096","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Львівська","Житлові будинки з двома та більше квартирами","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1200074","358395","578813","1063760","1324646","233287","482177","764260","906762","108124","488912","866640","1092942","293727","445855","766840","1005760","109971","311730","568282","855920","214072","","477593","771741","","","806630","1154552"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Закарпатська","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","25727","5076","","5463","13148","","2103","7281","12339","4712","7348","10118","23404","","12494","14278","16405","","4052","17945","26415","21007","127836","136273","192328","18135","38244","56571",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Запорізька","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","5974","3343","10025","91663","101009","","5964","23421","146904","","31619","37406","41809","1071","1071","1628","2057","","","3856","3856","","","","5770","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Луганська","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1165","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Кіровоградська","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","4324","","","","1939","","","","4782","","","849","1866","","","","","","","","","","","601","1195","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Кіровоградська","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","71242","4710","5515","6066","9908","","5914","7668","7831","27612","27612","33058","36671","","2272","4094","19716","","17865","18940","20501","","18609","27044","39893","","4061","7051",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Запорізька","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","101924","20201","40223","137577","181570","7846","25916","50550","195244","20267","62184","102154","118544","4686","6813","7370","7937","","3052","4093","5095","","","14034","19656","6185","23676","32927","34459"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Рівненська","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","139031","33510","86405","146503","185735","23161","52978","76546","97471","25576","61574","127866","153243","5808","17885","42482","55584","34785","52697","66140","100433","21312","48682","68089","93862","37877","80229","122623","172421"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Рівненська","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Львівська","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","350747","52982","181894","567358","768733","82538","134188","220783","289491","115594","252942","1087738","1241209","102694","184062","284871","444154","94258","229037","402647","532141","95209","243921","447615","648066","274774","464273","710923","836931"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Полтавська","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Київська","Одноквартирні житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","104241","12488","","","73025","32133","58665","77270","92219","13522","","","144161","14401","","","","6415","18156","46688","","12514","26663","37171","45145","15834","39706","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Івано-Франківська","Одноквартирні житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","30914","11910","18721","20893","25636","872","4130","5402","","","1490","2763","9446","","","","","1782","3026","3026","7862","7547","8282","12232","14110","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Київ","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","638","","","","","","","46235","","","","","","","","","","","","","","","","","","","","",""
